iter	Logloss
0	0.6842746998
1	0.6763293496
2	0.6691705235
3	0.6626734255
4	0.6568827705
5	0.6516665097
6	0.6469635169
7	0.6427002324
8	0.6389172779
9	0.6354955922
10	0.6323962793
11	0.6296113563
12	0.6271104053
13	0.6248787504
14	0.6228216223
15	0.6210155976
16	0.6193670904
17	0.6178965579
18	0.616565774
19	0.6153672142
20	0.6142752073
21	0.6133223283
22	0.6124198199
23	0.6116266946
24	0.6108826185
25	0.6102567819
26	0.6096167594
27	0.6090927232
28	0.6085992401
29	0.6081338942
30	0.6077375975
31	0.6073571145
32	0.6070197336
33	0.6067055764
34	0.6064336409
35	0.6061722388
36	0.6059289912
37	0.605691252
38	0.605481429
39	0.6053090924
40	0.6050864289
41	0.6049100951
42	0.6047377214
43	0.6045655219
44	0.6044238326
45	0.6043379764
46	0.6042295465
47	0.6041169547
48	0.6039885972
49	0.6039336223
50	0.6038366409
51	0.6037286991
52	0.6036508069
53	0.6035730254
54	0.6035052187
55	0.6034115171
56	0.6033858738
57	0.6032957581
58	0.60321985
59	0.6031534736
60	0.6030931137
61	0.6030144581
62	0.602936442
63	0.6028403089
64	0.6028027237
65	0.6027139577
66	0.6026491094
67	0.6025997922
68	0.602517314
69	0.6024255814
70	0.6023572364
71	0.6023164387
72	0.6022482548
73	0.6021929044
74	0.6021351473
75	0.6021083335
76	0.6020251722
77	0.6019617257
78	0.6018594437
79	0.6018249461
80	0.6017887801
81	0.6016946965
82	0.6016323883
83	0.6015539458
84	0.601453268
85	0.6013628143
86	0.601350833
87	0.6012751273
88	0.6012291666
89	0.6011637665
90	0.6010462807
91	0.6009985338
92	0.6009618738
93	0.6008985759
94	0.6008141298
95	0.6007856735
96	0.6007469965
97	0.6007078563
98	0.6006749821
99	0.6005881005
